47,5,10,360,12,25,4,1,3,0,13,53,8,14,398,20,26,6,3,2,1,15
53,8,14,398,20,26,6,3,2,1,15,47,5,10,360,12,25,4,1,3,0,13
77,7,18,766,10,17,5,0,0,0,8,23,2,6,227,13,17,4,0,0,0,10
23,2,6,227,13,17,4,0,0,0,10,77,7,18,766,10,17,5,0,0,0,8
58,2,15,494,17,9,5,5,1,0,11,42,2,7,363,13,28,3,2,2,0,17
42,2,7,363,13,28,3,2,2,0,17,58,2,15,494,17,9,5,5,1,0,11
65,9,28,736,16,15,10,5,0,0,7,35,3,9,400,14,22,4,2,0,0,7
35,3,9,400,14,22,4,2,0,0,7,65,9,28,736,16,15,10,5,0,0,7
36,2,4,327,20,17,10,3,0,0,13,64,2,12,598,15,28,4,1,0,0,11
64,2,12,598,15,28,4,1,0,0,11,36,2,4,327,20,17,10,3,0,0,13
60,3,11,549,9,17,5,3,0,0,17,40,10,17,356,17,21,4,2,0,0,16
40,10,17,356,17,21,4,2,0,0,16,60,3,11,549,9,17,5,3,0,0,17
56,4,16,458,22,9,4,3,2,0,15,44,4,9,380,19,28,2,0,5,0,12
44,4,9,380,19,28,2,0,5,0,12,56,4,16,458,22,9,4,3,2,0,15
59,7,30,567,13,18,8,1,2,0,10,41,2,7,395,17,22,2,1,4,0,9
41,2,7,395,17,22,2,1,4,0,9,59,7,30,567,13,18,8,1,2,0,10
51,5,14,468,16,13,1,2,2,0,10,59,4,12,442,14,21,4,2,3,0,13
59,4,12,442,14,21,4,2,3,0,13,51,5,14,468,16,13,1,2,2,0,10
29,4,8,255,13,14,5,2,2,0,15,71,7,16,658,16,15,7,0,1,0,9
71,7,16,658,16,15,7,0,1,0,9,29,4,8,255,13,14,5,2,2,0,15
38,5,12,360,15,31,3,1,2,0,17,62,5,19,604,8,29,8,2,0,0,6
62,5,19,604,8,29,8,2,0,0,6,38,5,12,360,15,31,3,1,2,0,17
21,2,2,218,16,24,1,2,1,0,6,79,10,21,799,12,10,9,1,1,0,4
79,10,21,799,12,10,9,1,1,0,4,21,2,2,218,16,24,1,2,1,0,6
62,4,16,481,29,15,9,2,1,0,8,38,3,6,299,25,33,5,1,1,0,11
38,3,6,299,25,33,5,1,1,0,11,62,4,16,481,29,15,9,2,1,0,8
62,8,18,589,23,27,3,1,2,0,10,38,2,9,357,11,13,1,0,1,0,16
38,2,9,357,11,13,1,0,1,0,16,62,8,18,589,23,27,3,1,2,0,10
61,4,12,750,14,12,5,4,0,0,7,39,1,7,479,21,35,4,1,2,0,10
39,1,7,479,21,35,4,1,2,0,10,61,4,12,750,14,12,5,4,0,0,7
65,6,15,684,16,13,5,3,1,0,5,35,8,11,379,13,28,4,3,1,0,17
35,8,11,379,13,28,4,3,1,0,17,65,6,15,684,16,13,5,3,1,0,5
61,3,15,524,14,35,8,5,2,0,11,39,6,11,335,11,25,8,6,1,0,9
39,6,11,335,11,25,8,6,1,0,9,61,3,15,524,14,35,8,5,2,0,11
63,5,9,555,19,27,5,1,2,0,17,37,6,10,315,20,28,9,2,1,0,12
37,6,10,315,20,28,9,2,1,0,12,63,5,9,555,19,27,5,1,2,0,17
28,1,6,297,22,44,1,2,2,0,11,72,6,17,758,8,8,8,3,1,0,9
72,6,17,758,8,8,8,3,1,0,9,28,1,6,297,22,44,1,2,2,0,11
47,4,10,558,13,23,4,2,0,0,7,53,6,13,616,15,16,4,2,2,0,9
53,6,13,616,15,16,4,2,2,0,9,47,4,10,558,13,23,4,2,0,0,7
64,2,9,542,10,35,6,1,2,0,11,34,5,14,298,20,22,6,3,2,0,17
34,5,14,298,20,22,6,3,2,0,17,64,2,9,542,10,35,6,1,2,0,11
51,6,19,388,26,14,12,6,0,0,13,49,0,6,391,18,33,1,0,3,0,13
49,0,6,391,18,33,1,0,3,0,13,51,6,19,388,26,14,12,6,0,0,13
53,5,9,420,24,10,3,1,2,0,17,47,6,10,388,16,40,0,1,2,0,16
47,6,10,388,16,40,0,1,2,0,16,53,5,9,420,24,10,3,1,2,0,17
80,8,28,850,15,7,10,0,0,0,4,20,1,4,210,15,34,3,2,3,0,10
20,1,4,210,15,34,3,2,3,0,10,80,8,28,850,15,7,10,0,0,0,4
41,1,6,376,24,30,5,1,0,0,11,59,5,12,525,22,12,9,0,0,0,5
59,5,12,525,22,12,9,0,0,0,5,41,1,6,376,24,30,5,1,0,0,11
49,6,14,425,19,24,8,0,3,0,11,51,6,17,444,32,16,6,2,1,0,7
51,6,17,444,32,16,6,2,1,0,7,49,6,14,425,19,24,8,0,3,0,11
49,3,8,455,25,26,4,2,0,0,12,51,4,9,457,9,16,9,4,1,0,12
51,4,9,457,9,16,9,4,1,0,12,49,3,8,455,25,26,4,2,0,0,12
54,5,20,318,9,24,10,2,1,0,11,46,2,3,287,12,66,2,1,3,0,15
46,2,3,287,12,66,2,1,3,0,15,54,5,20,318,9,24,10,2,1,0,11
44,5,11,425,12,25,3,2,3,0,9,56,2,10,532,19,15,3,2,4,0,12
56,2,10,532,19,15,3,2,4,0,12,44,5,11,425,12,25,3,2,3,0,9
35,4,9,282,17,28,2,5,3,0,12,65,4,17,514,12,17,9,1,2,0,8
65,4,17,514,12,17,9,1,2,0,8,35,4,9,282,17,28,2,5,3,0,12
73,10,18,610,11,19,10,1,2,0,16,27,8,13,222,18,53,6,0,2,0,8
27,8,13,222,18,53,6,0,2,0,8,73,10,18,610,11,19,10,1,2,0,16
32,3,6,275,17,42,1,3,2,0,9,68,2,18,580,10,7,10,0,2,0,11
68,2,18,580,10,7,10,0,2,0,11,32,3,6,275,17,42,1,3,2,0,9
67,4,11,641,17,17,6,1,3,0,11,33,2,7,314,20,24,3,1,4,0,13
33,2,7,314,20,24,3,1,4,0,13,67,4,11,641,17,17,6,1,3,0,11
51,2,8,461,13,33,2,5,2,1,10,49,8,17,423,11,16,10,0,1,0,11
49,8,17,423,11,16,10,0,1,0,11,51,2,8,461,13,33,2,5,2,1,10
76,7,19,685,18,24,6,0,3,0,7,25,6,8,222,16,37,2,3,1,1,11
25,6,8,222,16,37,2,3,1,1,11,76,7,19,685,18,24,6,0,3,0,7
47,2,14,374,18,12,10,1,3,1,11,58,7,10,426,9,37,7,2,1,0,9
58,7,10,426,9,37,7,2,1,0,9,47,2,14,374,18,12,10,1,3,1,11
49,2,7,515,17,18,2,2,1,0,10,51,2,6,528,16,25,6,5,2,0,10
